func,func_intent_summary,security_intent_summary
"def median_filter(X, M=8):
    """"""Median filter along the first axis of the feature matrix X.""""""
    for i in range(X.shape[1]):
        X[:, i] = filters.median_filter(X[:, i], size=M)
    return X",Median filter along the first axis of the feature matrix X.,
"def compute_gaussian_krnl(M):
    """"""Creates a gaussian kernel following Foote's paper.""""""
    g = signal.gaussian(M, M // 3., sym=True)
    G = np.dot(g.reshape(-1, 1), g.reshape(1, -1))
    G[M // 2:, :M // 2] = -G[M // 2:, :M // 2]
    G[:M // 2, M // 2:] = -G[:M // 2, M // 2:]
    return G",Creates a gaussian kernel following Foote's paper.,
"def compute_ssm(X, metric=""seuclidean""):
    """"""Computes the self-similarity matrix of X.""""""
    D = distance.pdist(X, metric=metric)
    D = distance.squareform(D)
    D /= D.max()
    return 1 - D",Computes the self-similarity matrix of X.,
"def compute_nc(X, G):
    """"""Computes the novelty curve from the self-similarity matrix X and
        the gaussian kernel G.""""""
    N = X.shape[0]
    M = G.shape[0]
    nc = np.zeros(N)

    for i in range(M // 2, N - M // 2 + 1):
        nc[i] = np.sum(X[i - M // 2:i + M // 2, i - M // 2:i + M // 2] * G)

    # Normalize
    nc += nc.min()
    nc /= nc.max()
    return nc","Computes the novelty curve from the self-similarity matrix X and
        the gaussian kernel G.",
"def gaussian_filter(X, M=8, axis=0):
    """"""Gaussian filter along the first axis of the feature matrix X.""""""
    for i in range(X.shape[axis]):
        if axis == 1:
            X[:, i] = filters.gaussian_filter(X[:, i], sigma=M / 2.)
        elif axis == 0:
            X[i, :] = filters.gaussian_filter(X[i, :], sigma=M / 2.)
    return X",Gaussian filter along the first axis of the feature matrix X.,
"def compute_nc(X):
    """"""Computes the novelty curve from the structural features.""""""
    N = X.shape[0]
    # nc = np.sum(np.diff(X, axis=0), axis=1) # Difference between SF's

    nc = np.zeros(N)
    for i in range(N - 1):
        nc[i] = distance.euclidean(X[i, :], X[i + 1, :])

    # Normalize
    nc += np.abs(nc.min())
    nc /= float(nc.max())
    return nc",Computes the novelty curve from the structural features.,
"def circular_shift(X):
    """"""Shifts circularly the X squre matrix in order to get a
        time-lag matrix.""""""
    N = X.shape[0]
    L = np.zeros(X.shape)
    for i in range(N):
        L[i, :] = np.asarray([X[(i + j) % N, j] for j in range(N)])
    return L","Shifts circularly the X squre matrix in order to get a
        time-lag matrix.",
"def get_duration(features_file):
    """"""Reads the duration of a given features file.

    Parameters
    ----------
    features_file: str
        Path to the JSON file containing the features.

    Returns
    -------
    dur: float
        Duration of the analyzed file.
    """"""
    with open(features_file) as f:
        feats = json.load(f)
    return float(feats[""globals""][""dur""])","Reads the duration of a given features file.

    Parameters
    ----------
    features_file: str
        Path to the JSON file containing the features.

    Returns
    -------
    dur: float
        Duration of the analyzed file.",
"def _get_dataset_file(self, dir, ext):
        """"""Gets the desired dataset file.""""""
        audio_file_ext = ""."" + self.audio_file.split(""."")[-1]
        base_file = os.path.basename(self.audio_file).replace(
            audio_file_ext, ext)
        return os.path.join(self.ds_path, dir, base_file)",Gets the desired dataset file.,
"def get_param_names(self):
        """"""Returns the parameter names for these features, avoiding
        the global parameters.""""""
        return [name for name in vars(self) if not name.startswith('_') and
                name not in self._global_param_names]","Returns the parameter names for these features, avoiding
        the global parameters.",
"def _compute_framesync_times(self):
        """"""Computes the framesync times based on the framesync features.""""""
        self._framesync_times = librosa.core.frames_to_time(
            np.arange(self._framesync_features.shape[0]), self.sr,
            self.hop_length)",Computes the framesync times based on the framesync features.,
"def print_results(results):
    """"""Print all the results.

    Parameters
    ----------
    results: pd.DataFrame
        Dataframe with all the results
    """"""
    if len(results) == 0:
        logging.warning(""No results to print!"")
        return
    res = results.mean()
    logging.info(""Results:\n%s"" % res)","Print all the results.

    Parameters
    ----------
    results: pd.DataFrame
        Dataframe with all the results",
"def compute_information_gain(ann_inter, est_inter, est_file, bins):
    """"""Computes the information gain of the est_file from the annotated
    intervals and the estimated intervals.""""""
    ann_times = utils.intervals_to_times(ann_inter)
    est_times = utils.intervals_to_times(est_inter)
    return mir_eval.beat.information_gain(ann_times, est_times, bins=bins)","Computes the information gain of the est_file from the annotated
    intervals and the estimated intervals.",
"def compute_all_features(file_struct, framesync):
    """"""Computes all features for the given file.""""""
    for feature_id in msaf.features_registry:
        logging.info(""Computing %s for file %s"" % (feature_id,
                                                   file_struct.audio_file))
        feats = Features.select_features(feature_id, file_struct, False, framesync)
        feats.features",Computes all features for the given file.,
"def gaussian_cost(X):
    '''Return the average log-likelihood of data under a standard normal
    '''

    d, n = X.shape

    if n < 2:
        return 0

    sigma = np.var(X, axis=1, ddof=1)

    cost = -0.5 * d * n * np.log(2. * np.pi) - 0.5 * (n - 1.) * np.sum(sigma)
    return cost",Return the average log-likelihood of data under a standard normal,
"def lognormalize(F, floor=0.1, min_db=-80):
    """"""Log-normalizes features such that each vector is between min_db to 0.""""""
    assert min_db < 0
    F = min_max_normalize(F, floor=floor)
    F = np.abs(min_db) * np.log10(F)  # Normalize from min_db to 0
    return F",Log-normalizes features such that each vector is between min_db to 0.,
"def min_max_normalize(F, floor=0.001):
    """"""Normalizes features such that each vector is between floor to 1.""""""
    F += -F.min() + floor
    F = F / F.max(axis=0)
    return F",Normalizes features such that each vector is between floor to 1.,
"def get_time_frames(dur, anal):
    """"""Gets the time frames and puts them in a numpy array.""""""
    n_frames = get_num_frames(dur, anal)
    return np.linspace(0, dur, num=n_frames)",Gets the time frames and puts them in a numpy array.,
"def get_clustered_data(self, X, labels, label_index):
        """"""Returns the data with a specific label_index, using the previously
         learned labels.""""""
        D = X[np.argwhere(labels == label_index)]
        return D.reshape((D.shape[0], D.shape[-1]))","Returns the data with a specific label_index, using the previously
         learned labels.",
"def run_kmeans(self, X, K):
        """"""Runs k-means and returns the labels assigned to the data.""""""
        wX = vq.whiten(X)
        means, dist = vq.kmeans(wX, K, iter=100)
        labels, dist = vq.vq(wX, means)
        return means, labels",Runs k-means and returns the labels assigned to the data.,
"def magnitude(X):
    """"""Magnitude of a complex matrix.""""""
    r = np.real(X)
    i = np.imag(X)
    return np.sqrt(r * r + i * i);",Magnitude of a complex matrix.,
"def json_to_bounds(segments_json):
    """"""Extracts the boundaries from a json file and puts them into
        an np array.""""""
    f = open(segments_json)
    segments = json.load(f)[""segments""]
    bounds = []
    for segment in segments:
        bounds.append(segment[""start""])
    bounds.append(bounds[-1] + segments[-1][""duration""]) # Add last boundary
    f.close()
    return np.asarray(bounds)","Extracts the boundaries from a json file and puts them into
        an np array.",
"def json_bounds_to_bounds(bounds_json):
    """"""Extracts the boundaries from a bounds json file and puts them into
        an np array.""""""
    f = open(bounds_json)
    segments = json.load(f)[""bounds""]
    bounds = []
    for segment in segments:
        bounds.append(segment[""start""])
    f.close()
    return np.asarray(bounds)","Extracts the boundaries from a bounds json file and puts them into
        an np array.",
"def json_to_beats(beats_json_file):
    """"""Extracts the beats from the beats_json_file and puts them into
        an np array.""""""
    f = open(beats_json_file, ""r"")
    beats_json = json.load(f)
    beats = []
    for beat in beats_json[""beats""]:
        beats.append(beat[""start""])
    f.close()
    return np.asarray(beats)","Extracts the beats from the beats_json_file and puts them into
        an np array.",
"def main():
    '''
    Main Entry point for translator and argument parser
    '''
    args      = command_line()
    translate = partial(translator, args.source, args.dest,
                        version=' '.join([__version__, __build__]))

    return source(spool(set_task(translate, translit=args.translit)), args.text)",Main Entry point for translator and argument parser,
"def print_table(language):
    '''
    Generates a formatted table of language codes
    '''
    table = translation_table(language)

    for code, name in sorted(table.items(), key=operator.itemgetter(0)):
        print(u'{language:<8} {name:\u3000<20}'.format(
            name=name, language=code
        ))

    return None",Generates a formatted table of language codes,
"def bbox(self):
        """"""
        The bounding box for nodes in this network [xmin, ymin, xmax, ymax]
        """"""
        return [self.nodes_df.x.min(), self.nodes_df.y.min(),
                self.nodes_df.x.max(), self.nodes_df.y.max()]","The bounding box for nodes in this network [xmin, ymin, xmax, ymax]",
"def make_osm_query(query):
    """"""
    Make a request to OSM and return the parsed JSON.

    Parameters
    ----------
    query : str
        A string in the Overpass QL format.

    Returns
    -------
    data : dict

    """"""
    osm_url = 'http://www.overpass-api.de/api/interpreter'
    req = requests.get(osm_url, params={'data': query})
    req.raise_for_status()

    return req.json()","Make a request to OSM and return the parsed JSON.

    Parameters
    ----------
    query : str
        A string in the Overpass QL format.

    Returns
    -------
    data : dict",
"def equal(x, y):
    """"""
    Shortcut function for ``unittest.TestCase.assertEqual()``.

    Arguments:
        x (mixed)
        y (mixed)

    Raises:
        AssertionError: in case of assertion error.

    Returns:
        bool
    """"""
    if PY_3:
        return test_case().assertEqual(x, y) or True

    assert x == y","Shortcut function for ``unittest.TestCase.assertEqual()``.

    Arguments:
        x (mixed)
        y (mixed)

    Raises:
        AssertionError: in case of assertion error.

    Returns:
        bool",
"def isregex(value):
    """"""
    Returns ``True`` if the input argument object is a native
    regular expression object, otherwise ``False``.

    Arguments:
        value (mixed): input value to test.

    Returns:
        bool
    """"""
    if not value:
        return False
    return any((isregex_expr(value), isinstance(value, retype)))","Returns ``True`` if the input argument object is a native
    regular expression object, otherwise ``False``.

    Arguments:
        value (mixed): input value to test.

    Returns:
        bool",
"def get(name):
    """"""
    Returns a matcher instance by class or alias name.

    Arguments:
        name (str): matcher class name or alias.

    Returns:
        matcher: found matcher instance, otherwise ``None``.
    """"""
    for matcher in matchers:
        if matcher.__name__ == name or getattr(matcher, 'name', None) == name:
            return matcher","Returns a matcher instance by class or alias name.

    Arguments:
        name (str): matcher class name or alias.

    Returns:
        matcher: found matcher instance, otherwise ``None``.",
"def body(self, body):
        """"""
        Defines response body data.

        Arguments:
            body (str|bytes): response body to use.

        Returns:
            self: ``pook.Response`` current instance.
        """"""
        if isinstance(body, bytes):
            body = body.decode('utf-8')

        self._body = body","Defines response body data.

        Arguments:
            body (str|bytes): response body to use.

        Returns:
            self: ``pook.Response`` current instance.",
"def _append_funcs(target, items):
    """"""
    Helper function to append functions into a given list.

    Arguments:
        target (list): receptor list to append functions.
        items (iterable): iterable that yields elements to append.
    """"""
    [target.append(item) for item in items
     if isfunction(item) or ismethod(item)]","Helper function to append functions into a given list.

    Arguments:
        target (list): receptor list to append functions.
        items (iterable): iterable that yields elements to append.",
"def method(self, method):
        """"""
        Defines the HTTP method to match.
        Use ``*`` to match any method.

        Arguments:
            method (str): method value to match. E.g: ``GET``.

        Returns:
            self: current Mock instance.
        """"""
        self._request.method = method
        self.add_matcher(matcher('MethodMatcher', method))","Defines the HTTP method to match.
        Use ``*`` to match any method.

        Arguments:
            method (str): method value to match. E.g: ``GET``.

        Returns:
            self: current Mock instance.",
"def params(self, params):
        """"""
        Defines a set of URL query params to match.

        Arguments:
            params (dict): set of params to match.

        Returns:
            self: current Mock instance.
        """"""
        url = furl(self._request.rawurl)
        url = url.add(params)
        self._request.url = url.url
        self.add_matcher(matcher('QueryMatcher', params))","Defines a set of URL query params to match.

        Arguments:
            params (dict): set of params to match.

        Returns:
            self: current Mock instance.",
"def body(self, body):
        """"""
        Defines the body data to match.

        ``body`` argument can be a ``str``, ``binary`` or a regular expression.

        Arguments:
            body (str|binary|regex): body data to match.

        Returns:
            self: current Mock instance.
        """"""
        self._request.body = body
        self.add_matcher(matcher('BodyMatcher', body))","Defines the body data to match.

        ``body`` argument can be a ``str``, ``binary`` or a regular expression.

        Arguments:
            body (str|binary|regex): body data to match.

        Returns:
            self: current Mock instance.",
"def xml(self, xml):
        """"""
        Defines a XML body value to match.

        Arguments:
            xml (str|regex): body XML to match.

        Returns:
            self: current Mock instance.
        """"""
        self._request.xml = xml
        self.add_matcher(matcher('XMLMatcher', xml))","Defines a XML body value to match.

        Arguments:
            xml (str|regex): body XML to match.

        Returns:
            self: current Mock instance.",
"def file(self, path):
        """"""
        Reads the body to match from a disk file.

        Arguments:
            path (str): relative or absolute path to file to read from.

        Returns:
            self: current Mock instance.
        """"""
        with open(path, 'r') as f:
            self.body(str(f.read()))","Reads the body to match from a disk file.

        Arguments:
            path (str): relative or absolute path to file to read from.

        Returns:
            self: current Mock instance.",
"def persist(self, status=None):
        """"""
        Enables persistent mode for the current mock.

        Returns:
            self: current Mock instance.
        """"""
        self._persist = status if type(status) is bool else True","Enables persistent mode for the current mock.

        Returns:
            self: current Mock instance.",
"def error(self, error):
        """"""
        Defines a simulated exception error that will be raised.

        Arguments:
            error (str|Exception): error to raise.

        Returns:
            self: current Mock instance.
        """"""
        self._error = RuntimeError(error) if isinstance(error, str) else error","Defines a simulated exception error that will be raised.

        Arguments:
            error (str|Exception): error to raise.

        Returns:
            self: current Mock instance.",
"def remove_mock(self, mock):
        """"""
        Removes a specific mock instance by object reference.

        Arguments:
            mock (pook.Mock): mock instance to remove.
        """"""
        self.mocks = [m for m in self.mocks if m is not mock]","Removes a specific mock instance by object reference.

        Arguments:
            mock (pook.Mock): mock instance to remove.",
"def disable(self):
        """"""
        Disables interceptors and stops intercepting any outgoing HTTP traffic.
        """"""
        if not self.active:
            return None

        # Disable current mock engine
        self.mock_engine.disable()
        # Disable engine state
        self.active = False",Disables interceptors and stops intercepting any outgoing HTTP traffic.,
"def copy(self):
        """"""
        Copies the current Request object instance for side-effects purposes.

        Returns:
            pook.Request: copy of the current Request instance.
        """"""
        req = type(self)()
        req.__dict__ = self.__dict__.copy()
        req._headers = self.headers.copy()
        return req","Copies the current Request object instance for side-effects purposes.

        Returns:
            pook.Request: copy of the current Request instance.",
"def get_setting(connection, key):
    """"""Get key from connection or default to settings.""""""
    if key in connection.settings_dict:
        return connection.settings_dict[key]
    else:
        return getattr(settings, key)",Get key from connection or default to settings.,
"def as_sql(self, compiler, connection):
        """"""Build SQL with decryption and casting.""""""
        sql, params = super(DecryptedCol, self).as_sql(compiler, connection)
        sql = self.target.get_decrypt_sql(connection) % (sql, self.target.get_cast_sql())
        return sql, params",Build SQL with decryption and casting.,
"def pre_save(self, model_instance, add):
        """"""Save the original_value.""""""
        if self.original:
            original_value = getattr(model_instance, self.original)
            setattr(model_instance, self.attname, original_value)

        return super(HashMixin, self).pre_save(model_instance, add)",Save the original_value.,
"def get_col(self, alias, output_field=None):
        """"""Get the decryption for col.""""""
        if output_field is None:
            output_field = self
        if alias != self.model._meta.db_table or output_field != self:
            return DecryptedCol(
                alias,
                self,
                output_field
            )
        else:
            return self.cached_col",Get the decryption for col.,
"def get_placeholder(self, value=None, compiler=None, connection=None):
        """"""Tell postgres to encrypt this field using PGP.""""""
        return self.encrypt_sql.format(get_setting(connection, 'PUBLIC_PGP_KEY'))",Tell postgres to encrypt this field using PGP.,
"def CovInv(self):
        """"""
        Inverse of the covariance matrix

        Returns
        -------

         H : (np.array)
            inverse of the covariance matrix.
        """"""
        self.recurse(full_matrix=True)
        return self.tree.root.cinv","Inverse of the covariance matrix

        Returns
        -------

         H : (np.array)
            inverse of the covariance matrix.",
"def _create_transversion_transition_W(kappa):
    """"""
    Alphabet = [A, C, G, T]
    """"""
    W = np.ones((4,4))
    W[0, 2]=W[1, 3]=W[2, 0]=W[3,1]=kappa
    return W","Alphabet = [A, C, G, T]",
"def attach_to_tree(self):
        '''
        attaches the the merger cost to each branch length interpolator in the tree.
        '''
        for clade in self.tree.find_clades():
            if clade.up is not None:
                clade.branch_length_interpolator.merger_cost = self.cost",attaches the the merger cost to each branch length interpolator in the tree.,
"def gtr(self, value):
        """"""
        Set a new GTR object

        Parameters
        -----------

         value : GTR
            the new GTR object
        """"""
        if not (isinstance(value, GTR) or isinstance(value, GTR_site_specific)):
            raise TypeError("" GTR instance expected"")
        self._gtr = value","Set a new GTR object

        Parameters
        -----------

         value : GTR
            the new GTR object",
"def _exp_lt(self, t):
        """"""
        Parameters
        ----------

         t : float
            time to propagate

        Returns
        --------

         exp_lt : numpy.array
            Array of values exp(lambda(i) * t),
            where (i) - alphabet index (the eigenvalue number).
        """"""
        return np.exp(self.mu * t * self.eigenvals)","Parameters
        ----------

         t : float
            time to propagate

        Returns
        --------

         exp_lt : numpy.array
            Array of values exp(lambda(i) * t),
            where (i) - alphabet index (the eigenvalue number).",
"def delta_function(cls, x_pos, weight=1., min_width=MIN_INTEGRATION_PEAK):
        """"""
        Create delta function distribution.
        """"""

        distribution = cls(x_pos,0.,is_log=True, min_width=min_width)
        distribution.weight  = weight
        return distribution",Create delta function distribution.,
"def client(self):
        """"""
        Socket connection.
        """"""
        if not self._client:
            self._client = socket.create_connection(
                (self.host, self.port), self.timeout)
            self.logger.debug('Client connected with guacd server (%s, %s, %s)'
                              % (self.host, self.port, self.timeout))

        return self._client",Socket connection.,
"def close(self):
        """"""
        Terminate connection with Guacamole guacd server.
        """"""
        self.client.close()
        self._client = None
        self.connected = False
        self.logger.debug('Connection closed.')",Terminate connection with Guacamole guacd server.,
"def send(self, data):
        """"""
        Send encoded instructions to Guacamole guacd server.
        """"""
        self.logger.debug('Sending data: %s' % data)
        self.client.sendall(data.encode())",Send encoded instructions to Guacamole guacd server.,
"def send_instruction(self, instruction):
        """"""
        Send instruction after encoding.
        """"""
        self.logger.debug('Sending instruction: %s' % str(instruction))
        return self.send(instruction.encode())",Send instruction after encoding.,
"def utf8(unicode_str):
    """"""
    Return a utf-8 encoded string from a valid unicode string.

    :param unicode_str: Unicode string.

    :return: str
    """"""
    if six.PY2 and isinstance(unicode_str, __unicode__):
        return unicode_str.encode('utf-8')

    return unicode_str","Return a utf-8 encoded string from a valid unicode string.

    :param unicode_str: Unicode string.

    :return: str",
"def encode_arg(arg):
        """"""
        Encode argument to be sent in a valid GuacamoleInstruction.

        example:
        >> arg = encode_arg('size')
        >> arg == '4.size'
        >> True

        :param arg: arg string.

        :return: str
        """"""
        arg_utf8 = utf8(arg)

        return ELEM_SEP.join([str(len(str(arg_utf8))), str(arg_utf8)])","Encode argument to be sent in a valid GuacamoleInstruction.

        example:
        >> arg = encode_arg('size')
        >> arg == '4.size'
        >> True

        :param arg: arg string.

        :return: str",
"def encode(self):
        """"""
        Prepare the instruction to be sent over the wire.

        :return: str
        """"""
        instruction_iter = itertools.chain([self.opcode], self.args)

        elems = ARG_SEP.join(self.encode_arg(arg) for arg in instruction_iter)

        return elems + INST_TERM","Prepare the instruction to be sent over the wire.

        :return: str",
"def class_url(cls):
        """"""Returns a versioned URI string for this class""""""
        base = 'v{0}'.format(getattr(cls, 'RESOURCE_VERSION', '1'))
        return ""/{0}/{1}"".format(base, class_to_api_name(cls.class_name()))",Returns a versioned URI string for this class,
"def class_url(cls):
        """"""
        Returns a versioned URI string for this class,
        and don't pluralize the class name.
        """"""
        base = 'v{0}'.format(getattr(cls, 'RESOURCE_VERSION', '1'))
        return ""/{0}/{1}"".format(base, class_to_api_name(
            cls.class_name(), pluralize=False))","Returns a versioned URI string for this class,
        and don't pluralize the class name.",
"def parent_object(self):
        """""" Get the commit objects parent Import or Migration """"""
        from . import types
        parent_klass = types.get(self.parent_job_model.split('.')[1])
        return parent_klass.retrieve(self.parent_job_id, client=self._client)",Get the commit objects parent Import or Migration,
"def whoami(*args, **kwargs):
    """"""
    Prints information about the current user.
    Assumes the user is already logged-in.
    """"""
    user = client.whoami()

    if user:
        print_user(user)
    else:
        print('You are not logged-in.')","Prints information about the current user.
    Assumes the user is already logged-in.",
"def print_user(user):
    """"""
    Prints information about the current user.
    """"""
    email = user['email']
    domain = user['account']['domain']
    role = user['role']
    print('You are logged-in to the ""{0}"" domain '
          'as {1} with role {2}.'
          .format(domain, email, role))",Prints information about the current user.,
"def range(self, chromosome, start, stop, exact=False):
        """"""
        Shortcut to do range filters on genomic datasets.
        """"""
        return self._clone(
            filters=[GenomicFilter(chromosome, start, stop, exact)])",Shortcut to do range filters on genomic datasets.,
"def position(self, chromosome, position, exact=False):
        """"""
        Shortcut to do a single position filter on genomic datasets.
        """"""
        return self._clone(
            filters=[GenomicFilter(chromosome, position, exact=exact)])",Shortcut to do a single position filter on genomic datasets.,
"def construct_from(cls, values, **kwargs):
        """"""Used to create a new object from an HTTP response""""""
        instance = cls(values.get(cls.ID_ATTR), **kwargs)
        instance.refresh_from(values)
        return instance",Used to create a new object from an HTTP response,
"def get(self, url, params, **kwargs):
        """"""Issues an HTTP GET across the wire via the Python requests
        library. See *request()* for information on keyword args.""""""
        kwargs['params'] = params
        return self.request('GET', url, **kwargs)","Issues an HTTP GET across the wire via the Python requests
        library. See *request()* for information on keyword args.",
"def delete(self, url, data, **kwargs):
        """"""Issues an HTTP DELETE across the wire via the Python requests
        library. See *request* for information on keyword args.""""""
        kwargs['data'] = data
        return self.request('DELETE', url, **kwargs)","Issues an HTTP DELETE across the wire via the Python requests
        library. See *request* for information on keyword args.",
"def child_object(self):
        """""" Get Task child object class """"""
        from . import types
        child_klass = types.get(self.task_type.split('.')[1])
        return child_klass.retrieve(self.task_id, client=self._client)",Get Task child object class,
"def cancel(self):
        """""" Cancel a task """"""
        _status = self.status
        self.status = ""canceled""
        try:
            self.save()
        except:
            # Reset status to what it was before
            # status update failure
            self.status = _status
            raise",Cancel a task,
"def _isint(string):
    """"""
    >>> _isint(""123"")
    True
    >>> _isint(""123.45"")
    False
    """"""
    return type(string) is int or \
        (isinstance(string, _binary_type) or
         isinstance(string, string_types)) and \
        _isconvertible(int, string)",">>> _isint(""123"")
    True
    >>> _isint(""123.45"")
    False",
"def _build_line(colwidths, padding, begin, fill, sep, end):
    ""Return a string which represents a horizontal line.""
    cells = [fill * (w + 2 * padding) for w in colwidths]
    return _build_row(cells, 0, begin, sep, end)",Return a string which represents a horizontal line.,
"def _mediawiki_cell_attrs(row, colaligns):
    ""Prefix every cell in a row with an HTML alignment attribute.""
    alignment = {""left"": '',
                 ""right"": 'align=""right""| ',
                 ""center"": 'align=""center""| ',
                 ""decimal"": 'align=""right""| '}
    row2 = [alignment[a] + c for c, a in zip(row, colaligns)]
    return row2",Prefix every cell in a row with an HTML alignment attribute.,
"def evaluate(self, data=None, data_type='string', is_list=False):
        """"""Evaluates the expression with the provided context and format.""""""
        payload = {
            'data': data,
            'expression': self.expr,
            'data_type': data_type,
            'is_list': is_list
        }
        res = self._client.post('/v1/evaluate', payload)
        return res['result']",Evaluates the expression with the provided context and format.,
"def _get_column_types(self, data):
        """"""Get a list of the data types for each column in *data*.""""""
        columns = list(zip_longest(*data))
        return [self._get_column_type(column) for column in columns]",Get a list of the data types for each column in *data*.,
"def _get_column_type(self, column):
        """"""Get the most generic data type for iterable *column*.""""""
        type_values = [TYPES[self._get_type(v)] for v in column]
        inverse_types = {v: k for k, v in TYPES.items()}
        return inverse_types[max(type_values)]",Get the most generic data type for iterable *column*.,
"def _get_type(self, value):
        """"""Get the data type for *value*.""""""
        if value is None:
            return type(None)
        elif type(value) in int_types:
            return int
        elif type(value) in float_types:
            return float
        elif isinstance(value, binary_type):
            return binary_type
        else:
            return text_type",Get the data type for *value*.,
"def read(self):
        """"""Read the default, additional, system, and user config files.

        :raises DefaultConfigValidationError: There was a validation error with
                                              the *default* file.
        """"""
        if self.default_file:
            self.read_default_config()
        return self.read_config_files(self.all_config_files())","Read the default, additional, system, and user config files.

        :raises DefaultConfigValidationError: There was a validation error with
                                              the *default* file.",
"def user_config_file(self):
        """"""Get the absolute path to the user config file.""""""
        return os.path.join(
            get_user_config_dir(self.app_name, self.app_author),
            self.filename)",Get the absolute path to the user config file.,
"def system_config_files(self):
        """"""Get a list of absolute paths to the system config files.""""""
        return [os.path.join(f, self.filename) for f in get_system_config_dirs(
            self.app_name, self.app_author)]",Get a list of absolute paths to the system config files.,
"def additional_files(self):
        """"""Get a list of absolute paths to the additional config files.""""""
        return [os.path.join(f, self.filename) for f in self.additional_dirs]",Get a list of absolute paths to the additional config files.,
"def read_config_files(self, files):
        """"""Read a list of config files.

        :param iterable files: An iterable (e.g. list) of files to read.
        """"""
        errors = {}
        for _file in files:
            config, valid = self.read_config_file(_file)
            self.update(config)
            if valid is not True:
                errors[_file] = valid
        return errors or True","Read a list of config files.

        :param iterable files: An iterable (e.g. list) of files to read.",
"def bytes_to_string(b):
    """"""Convert bytes *b* to a string.

    Hexlify bytes that can't be decoded.

    """"""
    if isinstance(b, binary_type):
        try:
            return b.decode('utf8')
        except UnicodeDecodeError:
            return '0x' + binascii.hexlify(b).decode('ascii')
    return b","Convert bytes *b* to a string.

    Hexlify bytes that can't be decoded.",
"def truncate_string(value, max_width=None):
    """"""Truncate string values.""""""
    if isinstance(value, text_type) and max_width is not None and len(value) > max_width:
        return value[:max_width]
    return value",Truncate string values.,
"def filter_dict_by_key(d, keys):
    """"""Filter the dict *d* to remove keys not in *keys*.""""""
    return {k: v for k, v in d.items() if k in keys}",Filter the dict *d* to remove keys not in *keys*.,
"def unique_items(seq):
    """"""Return the unique items from iterable *seq* (in order).""""""
    seen = set()
    return [x for x in seq if not (x in seen or seen.add(x))]",Return the unique items from iterable *seq* (in order).,
"def replace(s, replace):
    """"""Replace multiple values in a string""""""
    for r in replace:
        s = s.replace(*r)
    return s",Replace multiple values in a string,
"def adapter(data, headers, **kwargs):
    """"""Wrap the formatting inside a function for TabularOutputFormatter.""""""
    for row in chain((headers,), data):
        yield ""\t"".join((replace(r, (('\n', r'\n'), ('\t', r'\t'))) for r in row))",Wrap the formatting inside a function for TabularOutputFormatter.,
"def call_and_exit(self, cmd, shell=True):
        """"""Run the *cmd* and exit with the proper exit code.""""""
        sys.exit(subprocess.call(cmd, shell=shell))",Run the *cmd* and exit with the proper exit code.,
"def call_in_sequence(self, cmds, shell=True):
        """"""Run multiple commmands in a row, exiting if one fails.""""""
        for cmd in cmds:
            if subprocess.call(cmd, shell=shell) == 1:
                sys.exit(1)","Run multiple commmands in a row, exiting if one fails.",
"def apply_options(self, cmd, options=()):
        """"""Apply command-line options.""""""
        for option in (self.default_cmd_options + options):
            cmd = self.apply_option(cmd, option,
                                    active=getattr(self, option, False))
        return cmd",Apply command-line options.,
"def apply_option(self, cmd, option, active=True):
        """"""Apply a command-line option.""""""
        return re.sub(r'{{{}\:(?P<option>[^}}]*)}}'.format(option),
                      '\g<option>' if active else '', cmd)",Apply a command-line option.,
"def initialize_options(self):
        """"""Set the default options.""""""
        self.branch = 'master'
        self.fix = False
        super(lint, self).initialize_options()",Set the default options.,
"def run(self):
        """"""Run the linter.""""""
        cmd = 'pep8radius {branch} {{fix: --in-place}}{{verbose: -vv}}'
        cmd = cmd.format(branch=self.branch)
        self.call_and_exit(self.apply_options(cmd, ('fix', )))",Run the linter.,
"def run(self):
        """"""Generate and view the documentation.""""""
        cmds = (self.clean_docs_cmd, self.html_docs_cmd, self.view_docs_cmd)
        self.call_in_sequence(cmds)",Generate and view the documentation.,
"def _format_row(headers, row):
    """"""Format a row.""""""
    formatted_row = [' | '.join(field) for field in zip(headers, row)]
    return '\n'.join(formatted_row)",Format a row.,
"def adapter(data, headers, **kwargs):
    """"""Wrap vertical table in a function for TabularOutputFormatter.""""""
    keys = ('sep_title', 'sep_character', 'sep_length')
    return vertical_table(data, headers, **filter_dict_by_key(kwargs, keys))",Wrap vertical table in a function for TabularOutputFormatter.,
"def flags2text(self):
        """"""
        parse the `self.flags` field and create a list of `CKF_*` strings
        corresponding to bits set in flags

        :return: a list of strings
        :rtype: list
        """"""
        r = []
        for v in self.flags_dict.keys():
            if self.flags & v:
                r.append(self.flags_dict[v])
        return r","parse the `self.flags` field and create a list of `CKF_*` strings
        corresponding to bits set in flags

        :return: a list of strings
        :rtype: list",
"def closeAllSessions(self, slot):
        """"""
        C_CloseAllSessions

        :param slot: slot number
        :type slot: integer
        """"""
        rv = self.lib.C_CloseAllSessions(slot)
        if rv != CKR_OK:
            raise PyKCS11Error(rv)","C_CloseAllSessions

        :param slot: slot number
        :type slot: integer",
